survey,grid,common_name,life_phase,total_length,transit
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,15,NA
5,81,Yellowtail Snapper,A,16,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,20,NA
5,81,Yellowtail Snapper,A,19,NA
5,81,Yellowtail Snapper,A,18,NA
5,81,Yellowtail Snapper,A,17,NA
5,81,Yellowtail Snapper,A,20,NA
5,82,Ocean Surgeonfish,A,16,NA
5,82,Redband Parrotfish,I,14,NA
5,82,Stoplight Parrotfish,I,32,NA
5,82,Yellowtail Snapper,A,18,NA
5,82,Yellowtail Snapper,I,17,NA
5,83,Blue Tang,A,18,NA
5,83,French Grunt,A,16,NA
5,83,Ocean Surgeonfish,A,16,NA
5,83,Redband Parrotfish,I,16,NA
5,83,Yellowtail Snapper,A,18,NA
5,83,Yellowtail Snapper,A,20,NA
5,84,Ocean Surgeonfish,A,15,NA
5,84,Redband Parrotfish,I,12,NA
5,85,Ocean Surgeonfish,A,15,NA
5,85,Ocean Surgeonfish,A,17,NA
5,86,Ocean Surgeonfish,A,17,NA
5,86,Redband Parrotfish,I,18,NA
5,86,Redband Parrotfish,I,12,NA
5,86,Redtail Parrotfish,A,30,NA
5,87,Queen Parrotfish,I,15,NA
5,87,Redband Parrotfish,I,18,NA
5,88,Graysby,A,15,NA
5,88,White Grunt,A,18,NA
5,89,French Grunt,A,16,NA
5,89,French Grunt,A,15,NA
5,89,French Grunt,A,16,NA
5,89,Ocean Surgeonfish,NA,16,NA
5,89,Redband Parrotfish,I,7,NA
5,89,Stoplight Parrotfish,I,25,NA
5,89,Stoplight Parrotfish,I,17,NA
5,89,Stoplight Parrotfish,A,35,NA
5,89,Yellowtail Snapper,A,18,NA
5,89,Yellowtail Snapper,A,19,NA
5,90,Ocean Surgeonfish,A,15,NA
5,90,White Grunt,A,20,NA
5,91,French Grunt,A,16,NA
5,91,Scrawled Filefish,A,33,NA
5,92,Stoplight Parrotfish,I,30,NA
5,93,Blue Tang,A,18,NA
5,93,Ocean Surgeonfish,A,16,NA
5,93,Yellowtail Snapper,A,15,NA
5,93,Yellowtail Snapper,A,18,NA
5,94,Ocean Surgeonfish,A,16,NA
5,94,Yellowtail Snapper,A,16,NA
5,94,Yellowtail Snapper,A,17,NA
5,95,Striped Parrotfish,A,6,NA
5,95,Striped Parrotfish,A,7,NA
5,95,Striped Parrotfish,A,8,NA
5,95,Striped Parrotfish,A,9,NA
5,95,Striped Parrotfish,A,10,NA
5,95,Striped Parrotfish,A,11,NA
5,95,Striped Parrotfish,A,7,NA
5,96,Redband Parrotfish,A,20,NA
5,96,Redband Parrotfish,I,15,NA
5,96,Scrawled Filefish,A,36,NA
5,97,French Grunt,A,16,NA
5,97,Ocean Surgeonfish,A,16,NA
5,98,Doctorfish,A,15,NA
5,98,French Grunt,A,16,NA
5,98,French Grunt,A,15,NA
5,98,Yellowtail Snapper,A,17,NA
5,99,Blue Tang,A,16,NA
5,99,Stoplight Parrotfish,I,13,NA
5,99,Stoplight Parrotfish,I,10,NA
5,100,Doctorfish,A,17,NA
5,100,Doctorfish,A,15,NA
6,1,Ocean Surgeonfish,A,20,NA
6,1,Squirrelfish,A,22,NA
6,1,Stoplight Parrotfish,A,36,transit
6,1,Stoplight Parrotfish,I,34,transit
6,2,Ocean Surgeonfish,A,16,NA
6,2,Ocean Surgeonfish,A,18,NA
6,3,Redband Parrotfish,A,24,NA
6,5,Squirrelfish,A,23,NA
6,6,Ocean Surgeonfish,A,15,NA
6,6,White Grunt,A,25,NA
6,8,Balloonfish,A,42,NA
6,8,Brassy chub,A,35,NA
6,8,Queen Parrotfish,A,36,NA
6,9,Bermuda Chub,A,38,NA
6,9,Brassy chub,A,34,NA
6,9,Brassy chub,A,36,NA
6,9,Yellowtail Snapper,A,19,NA
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,22,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,23,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,24,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,25,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,26,transit
6,10,Schoolmaster,A,24,transit
6,11,Ocean Surgeonfish,A,20,NA
6,11,Princess Parrotfish,I,22,NA
6,11,Redband Parrotfish,A,23,NA
6,11,Redband Parrotfish,A,20,NA
6,11,White Grunt,A,24,NA
6,11,White Grunt,A,24,NA
6,11,Yellowtail Snapper,A,21,NA
6,11,Yellowtail Snapper,A,22,NA
6,11,Yellowtail Snapper,A,23,NA
6,11,Yellowtail Snapper,A,24,NA
6,11,Yellowtail Snapper,A,25,NA
6,12,Squirrelfish,A,26,NA
6,14,Black Grouper,A,49,NA
6,15,Ocean Surgeonfish,A,17,NA
6,15,Ocean Surgeonfish,A,18,NA
6,15,Squirrelfish,A,24,NA
6,16,Redband Parrotfish,I,18,NA
6,17,Ocean Surgeonfish,A,17,NA
6,18,Brassy chub,A,35,NA
6,18,Brassy chub,A,35,NA
6,18,Brassy chub,A,35,NA
6,19,Blue Tang,A,15,NA
6,19,Blue Tang,A,18,NA
6,19,Caesar Grunt,A,22,NA
6,19,Caesar Grunt,A,23,NA
6,19,Caesar Grunt,A,24,NA
6,19,Caesar Grunt,A,23,NA
6,19,Creole Wrasse,A,24,transit
6,19,Creole Wrasse,A,24,transit
6,19,Creole Wrasse,A,24,transit
6,19,Creole Wrasse,A,24,transit
6,19,Creole Wrasse,A,24,transit
6,19,Creole Wrasse,A,25,transit
6,19,Creole Wrasse,A,25,transit
6,19,Creole Wrasse,A,25,transit
6,19,Creole Wrasse,A,25,transit
6,19,Creole Wrasse,A,25,transit
6,19,Creole Wrasse,A,26,transit
6,19,Creole Wrasse,A,26,transit
6,19,Creole Wrasse,A,26,transit
6,19,Creole Wrasse,A,26,transit
6,19,Creole Wrasse,A,26,transit
6,19,Hogfish,J,28,NA
6,19,Scrawled Filefish,A,36,NA
6,19,Yellowtail Snapper,A,34,NA
6,20,Rainbow Parrotfish,A,48,NA
